x,y,z
-13.662947,137.256195,-73.668198
0.316067,135.724121,-72.396172
-14.929607,121.732201,-199.724533
-15.390543,133.813141,-183.291641
-8.031385,134.093292,-183.668015
-7.944548,121.278450,-200.304138
-14.654579,145.024994,-137.874847
-15.344473,140.152740,-164.603256
-21.733185,139.426529,-164.121521
-22.311256,143.726868,-138.497940
-19.101238,145.354004,-138.204544
-19.106384,145.434906,-107.902733
-14.788774,145.784088,-109.655197
-22.300125,144.409180,-114.993912
-18.628874,133.106033,-66.078270
-10.539021,130.946350,-60.424728
-11.233335,116.449364,-39.935356
1.531670,114.765648,-39.102978
-27.720198,120.535278,-198.207489
-26.872501,132.340332,-182.038940
-25.054594,132.604919,-182.382385
-25.527298,120.750290,-198.670197
-28.431311,142.122269,-137.395096
-28.801012,138.291046,-163.139191
-33.571671,137.452789,-162.549301
-33.253204,141.195374,-136.259827
-33.615414,141.536530,-110.975357
-28.938465,142.564499,-114.489456
-24.482281,143.525665,-137.572144
-26.262615,142.417267,-137.715012
-23.581059,143.114120,-138.250610
-25.365540,143.825928,-109.347084
-33.646629,139.710114,-95.161102
-28.802570,141.368774,-94.529259
-26.318544,142.050354,-94.539062
-23.658058,142.544067,-94.359573
-21.066704,142.956329,-94.204315
-19.062841,144.537354,-102.071526
-32.872345,131.057571,-68.442924
-34.864761,134.714020,-77.604523
-39.963509,130.019623,-70.571426
-39.011082,118.399406,-196.330444
-38.877815,130.309357,-179.998657
-33.885666,131.660278,-181.205261
-34.201622,119.321495,-197.627701
-38.389786,139.609222,-135.549881
-38.667393,135.894928,-161.529297
-43.235966,133.997101,-160.132462
-43.199596,137.541901,-133.943268
-44.251232,136.069809,-104.527855
-38.682777,139.609375,-108.855591
-38.246685,137.103088,-90.932709
-47.194771,127.409279,-75.957420
-51.367756,113.237762,-55.451061
-42.154423,117.648071,-51.697899
-39.140480,126.665794,-62.683281
-47.750809,115.296471,-191.350800
-47.840988,125.608727,-176.284088
-43.350136,128.433655,-178.418518
-43.531342,116.915657,-194.453430
-52.149261,132.157196,-134.904968
-48.258587,135.078354,-133.270477
-47.977005,131.519379,-158.303848
-52.161381,128.119537,-155.688202
-52.595531,130.866547,-103.015465
-49.397827,133.403534,-104.027840
-52.881119,131.829941,-117.174385
-52.559055,124.946266,-79.183914
-55.280327,122.861946,-81.521347
-54.041504,126.744576,-91.586998
-59.908134,109.765404,-66.284081
-57.064034,110.396271,-59.950760
-57.846275,116.405357,-74.343498
-69.088501,106.921967,-89.865326
-62.414093,114.055534,-85.999222
-59.668900,118.970917,-93.287056
-60.733742,120.044579,-103.457245
-67.682587,111.971489,-106.473312
-71.117035,100.209877,-78.593803
-71.120697,102.625916,-91.706886
-72.788910,96.682091,-81.237595
-67.384575,112.461548,-129.253296
-60.988785,121.404236,-131.754135
-60.145081,118.804062,-150.316544
-62.630558,108.165810,-166.667801
-68.220596,102.115257,-154.798950
-59.069313,123.419533,-116.055817
-71.502678,99.703255,-91.479485
-70.091705,103.534889,-104.895615
-69.966454,101.448814,-103.592316
-71.256859,97.999886,-91.694374
-72.601982,93.299599,-83.470741
-72.951004,94.550827,-82.668709
-69.538620,107.604187,-109.337196
-69.285355,103.403709,-123.272568
-69.121445,106.660728,-125.862900
-69.524231,97.913925,-146.318787
-69.366653,95.107399,-143.396317
-68.749298,93.783997,-141.799561
-68.968430,101.427231,-122.203018
-74.120483,87.952698,-76.122009
-73.423355,87.064323,-77.431274
-73.923676,79.945549,-73.293724
-74.820084,80.410683,-71.326950
-74.849731,79.962852,-66.402489
-74.038574,89.471397,-73.627998
-72.666115,93.185440,-71.097450
-73.464020,77.033615,-56.101562
-70.804390,90.605186,-61.774776
-70.371536,75.047340,-43.353252
-67.038841,87.000053,-48.767941
-67.437271,93.343880,-56.877121
-72.434227,71.977661,-45.781162
-74.448776,68.541733,-52.986298
-75.354919,72.951256,-63.765297
-75.889969,66.829880,-63.370911
-75.150146,62.437866,-52.463860
-74.670723,56.555950,-39.147602
-73.399033,62.556526,-39.532928
-72.484093,67.351852,-40.741425
-75.138062,74.322433,-69.182396
-74.164566,74.332146,-71.420578
-74.438690,68.476761,-70.388031
-75.465958,68.323746,-68.138580
-76.319885,61.907898,-67.872536
-75.265083,61.973892,-69.897934
-76.405106,55.168800,-70.449890
-77.428436,54.772537,-68.525200
-78.117455,54.463371,-66.510178
-76.963196,61.633938,-65.516205
-78.166458,53.636215,-52.176453
-76.482071,58.324932,-52.257889
-76.612839,63.064308,-60.580681
-77.795517,59.274437,-61.449493
-79.140121,51.940937,-61.958664
-79.421951,46.065598,-52.076077
-78.487076,40.820366,-39.434998
-77.702209,47.860588,-39.208202
-76.297989,52.203255,-39.228191
-79.217361,35.393559,-52.276840
-79.841484,42.763878,-63.987873
-79.401413,34.266014,-69.002411
-77.538147,26.876707,-54.867226
-73.647415,29.790375,-47.478775
-72.726151,27.271864,-47.964485
-71.456207,26.818542,-45.189732
-72.492630,29.352825,-44.702003
-77.510216,31.357407,-40.504475
-78.562576,46.825890,-71.366798
-77.542114,47.324310,-73.208084
-77.908737,39.882164,-78.489090
-78.796539,39.042458,-76.968735
-79.471497,38.225815,-75.294731
