x,y,z
-0.133312,0.043050,1.556570
-0.139255,0.260537,2.098160
-0.141977,0.275798,2.098550
-0.137721,0.305518,1.942910
-0.134706,0.312722,1.693610
-0.133474,0.312309,1.594100
-0.131584,0.275763,1.466080
-0.127307,0.231128,1.359870
-0.835336,0.079492,1.382670
-0.835033,0.045247,1.381710
-0.837041,0.040646,1.547580
-0.791991,0.207292,2.185920
-0.843739,0.196955,2.192470
-0.844011,0.227798,2.193330
-0.844131,0.241346,2.193710
-0.139155,0.249295,2.097850
-0.842334,0.268403,2.029460
-0.839147,0.275999,1.766020
-0.837925,0.284094,1.661400
-0.836369,0.290896,1.530590
-0.832019,0.287010,1.390510
-0.381309,0.061986,1.299410
-0.586225,0.071034,1.332580
-0.585480,0.278247,1.339380
-0.377957,0.269055,1.304750
-1.389870,0.039941,1.471550
-1.986760,0.036910,1.612930
-1.981800,0.063171,1.611720
-1.382360,0.071969,1.470040
-3.689330,0.019325,1.821900
-0.620009,0.081358,1.127410
-0.829669,0.091271,1.125030
-0.829969,0.090290,1.150000
-0.659134,0.082149,1.151940
-0.659013,0.082426,1.141940
-0.617598,0.080382,1.142410
-0.506289,0.074285,1.143650
-2.833790,0.129147,1.617280
-3.688530,0.038276,1.743980
-2.833080,0.047040,1.616490
-2.832940,0.029573,1.617000
-3.688400,0.021540,1.745160
-3.688410,0.024442,1.744540
-0.456924,0.071928,1.129210
-0.461758,0.033385,1.128070
-0.454174,0.032529,1.143140
-0.449339,0.070956,1.144280
-2.833310,0.103758,1.596570
-3.688340,0.034256,1.731870
-2.834460,0.025840,1.743250
-0.430391,0.234237,1.174090
-0.442940,0.211222,1.158280
-0.442425,0.152995,1.156660
-0.432563,0.187235,1.172750
-1.108460,0.253432,1.797040
-1.111650,0.245838,2.060420
-1.107230,0.260952,1.692340
-1.105670,0.267465,1.561530
-1.101330,0.264444,1.421470
-0.614277,0.283206,1.153130
-0.619021,0.262397,1.132480
-0.623354,0.216061,1.096120
-0.452375,0.142669,1.131240
-0.627294,0.083283,1.087360
-0.632188,0.044543,1.091220
-0.624902,0.042561,1.131260
-0.537009,0.037192,1.142220
-1.104330,0.053769,1.180510
-0.834862,0.051435,1.153850
-0.834563,0.052589,1.128880
-1.104030,0.054894,1.155540
-1.109740,0.043391,1.415690
-0.840199,0.040798,1.384020
-1.102250,0.077985,1.414250
-1.101980,0.047401,1.413400
-1.103560,0.043770,1.544300
-1.112770,0.142682,2.222550
-1.112990,0.167472,2.223240
-1.113170,0.187361,2.223800
-1.388450,0.233578,1.852540
-1.391640,0.225986,2.115830
-1.387220,0.240805,1.747990
-1.385660,0.247038,1.616920
-1.381320,0.244593,1.476880
-1.375750,0.248216,1.232510
-1.095900,0.270398,1.186670
-1.375370,0.232916,1.212090
-1.095390,0.254511,1.156230
-1.374470,0.187616,1.170830
-1.094430,0.202293,1.114780
-1.376100,0.085409,1.162950
-1.095980,0.091727,1.106660
-1.383630,0.053053,1.166950
-1.103500,0.056891,1.110590
-1.384470,0.050017,1.236860
-1.382110,0.043663,1.469250
-1.392430,0.157998,2.226940
-1.392330,0.073814,2.277090
-1.975350,0.195523,1.417480
-1.974640,0.157454,1.385920
-1.976460,0.073310,1.382040
-1.981430,0.047106,1.383240
-1.984420,0.045571,1.417170
-1.391870,0.021295,2.275630
-1.381490,0.021430,2.273270
-1.372630,0.041747,1.540830
