x,y,z
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.000000,0.000000,1.000000
0.010101,0.000000,1.000000
0.010101,0.000317,1.000000
0.010101,0.000635,1.000000
0.010101,0.000952,1.000000
0.010101,0.001269,1.000000
0.010101,0.001586,1.000000
0.010101,0.001904,1.000000
0.010101,0.002221,1.000000
0.010101,0.002538,1.000000
0.010101,0.002856,1.000000
0.010101,0.003173,1.000000
0.010101,0.003490,1.000000
0.010101,0.003807,1.000000
0.010101,0.004125,1.000000
0.010101,0.004442,1.000000
0.010101,0.004759,1.000000
0.010101,0.005076,1.000000
0.010101,0.005394,1.000000
0.010101,0.005711,1.000000
0.010101,0.006028,1.000000
0.010101,0.006346,1.000000
0.010101,0.006663,1.000000
0.010101,0.006980,1.000000
0.010101,0.007297,1.000000
0.010101,0.007615,1.000000
0.010101,0.007932,1.000000
0.010101,0.008249,1.000000
0.010101,0.008567,1.000000
0.010101,0.008884,1.000000
0.010101,0.009201,1.000000
0.010101,0.009518,1.000000
0.010101,0.009836,1.000000
0.010101,0.010153,1.000000
0.010101,0.010470,1.000000
0.010101,0.010787,1.000000
0.010101,0.011105,1.000000
0.010101,0.011422,1.000000
0.010101,0.011739,1.000000
0.010101,0.012057,1.000000
0.010101,0.012374,1.000000
0.010101,0.012691,1.000000
0.010101,0.013008,1.000000
0.010101,0.013326,1.000000
0.010101,0.013643,1.000000
0.010101,0.013960,1.000000
0.010101,0.014278,1.000000
0.010101,0.014595,1.000000
0.010101,0.014912,1.000000
0.010101,0.015229,1.000000
0.010101,0.015547,1.000000
0.010101,0.015864,1.000000
0.010101,0.016181,1.000000
0.010101,0.016499,1.000000
0.010101,0.016816,1.000000
0.010101,0.017133,1.000000
0.010101,0.017450,1.000000
0.010101,0.017768,1.000000
0.010101,0.018085,1.000000
0.010101,0.018402,1.000000
0.010101,0.018719,1.000000
0.010101,0.019037,1.000000
0.010101,0.019354,1.000000
0.010101,0.019671,1.000000
0.010101,0.019989,1.000000
0.010101,0.020306,1.000000
0.010101,0.020623,1.000000
0.010101,0.020940,1.000000
0.010101,0.021258,1.000000
0.010101,0.021575,1.000000
0.010101,0.021892,1.000000
0.010101,0.022210,1.000000
0.010101,0.022527,1.000000
0.010101,0.022844,1.000000
0.010101,0.023161,1.000000
0.010101,0.023479,1.000000
0.010101,0.023796,1.000000
0.010101,0.024113,1.000000
0.010101,0.024431,1.000000
0.010101,0.024748,1.000000
0.010101,0.025065,1.000000
0.010101,0.025382,1.000000
0.010101,0.025700,1.000000
0.010101,0.026017,1.000000
0.010101,0.026334,1.000000
0.010101,0.026651,1.000000
0.010101,0.026969,1.000000
0.010101,0.027286,1.000000
0.010101,0.027603,1.000000
0.010101,0.027921,1.000000
0.010101,0.028238,1.000000
0.010101,0.028555,1.000000
0.010101,0.028872,1.000000
0.010101,0.029190,1.000000
0.010101,0.029507,1.000000
0.010101,0.029824,1.000000
0.010101,0.030142,1.000000
0.010101,0.030459,1.000000
0.010101,0.030776,1.000000
0.010101,0.031093,1.000000
0.010101,0.031411,1.000000
0.020202,0.000000,1.000000
0.020202,0.000634,1.000000
0.020202,0.001268,1.000000
0.020202,0.001903,1.000000
0.020202,0.002537,1.000000
0.020202,0.003171,1.000000
0.020202,0.003805,1.000000
0.020202,0.004440,1.000000
0.020202,0.005074,1.000000
0.020202,0.005708,1.000000
0.020202,0.006342,1.000000
0.020202,0.006977,1.000000
0.020202,0.007611,1.000000
0.020202,0.008245,1.000000
0.020202,0.008879,1.000000
0.020202,0.009514,1.000000
0.020202,0.010148,1.000000
0.020202,0.010782,1.000000
0.020202,0.011416,1.000000
0.020202,0.012051,1.000000
0.020202,0.012685,1.000000
0.020202,0.013319,1.000000
0.020202,0.013953,1.000000
0.020202,0.014588,1.000000
0.020202,0.015222,1.000000
0.020202,0.015856,1.000000
0.020202,0.016490,1.000000
0.020202,0.017124,1.000000
0.020202,0.017759,1.000000
0.020202,0.018393,1.000000
0.020202,0.019027,1.000000
0.020202,0.019661,1.000000
0.020202,0.020296,1.000000
0.020202,0.020930,1.000000
0.020202,0.021564,1.000000
0.020202,0.022198,1.000000
0.020202,0.022833,1.000000
0.020202,0.023467,1.000000
0.020202,0.024101,1.000000
0.020202,0.024735,1.000000
0.020202,0.025370,1.000000
0.020202,0.026004,1.000000
0.020202,0.026638,1.000000
0.020202,0.027272,1.000000
0.020202,0.027907,1.000000
0.020202,0.028541,1.000000
0.020202,0.029175,1.000000
0.020202,0.029809,1.000000
0.020202,0.030443,1.000000
0.020202,0.031078,1.000000
0.020202,0.031712,1.000000
0.020202,0.032346,1.000000
0.020202,0.032980,1.000000
0.020202,0.033615,1.000000
0.020202,0.034249,1.000000
0.020202,0.034883,1.000000
0.020202,0.035517,1.000000
0.020202,0.036152,1.000000
0.020202,0.036786,1.000000
0.020202,0.037420,1.000000
0.020202,0.038054,1.000000
0.020202,0.038689,1.000000
0.020202,0.039323,1.000000
